{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:29:19', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:34:30', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:39:40', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:44:50', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:49:59', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 03:55:09', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:00:18', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:05:28', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:10:37', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:15:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:20:57', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:26:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:31:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:36:25', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:41:35', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:46:44', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:51:54', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 04:57:03', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:02:13', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:07:23', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:12:32', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:17:42', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:22:52', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:28:01', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:33:12', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:38:21', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:43:31', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:48:40', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:53:51', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 05:59:01', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:04:11', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:09:21', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:14:32', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:19:41', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:24:51', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:30:01', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:35:11', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:40:20', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:45:30', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:50:40', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 06:55:50', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:01:00', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:06:10', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:11:20', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
